Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Anguilla rostrata cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC135240358), transcript variant X1, mRNA",Anguilla rostrata,1113,1113,73%,0.0,76.63,3686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064309734.1?report=genbank&log$=nucltop&blast_rank=1&RID=YYRUNNRM014"",""XM_064309734.1"")"
"PREDICTED: Anguilla rostrata cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC135240358), transcript variant X3, mRNA",Anguilla rostrata,1113,1113,73%,0.0,76.63,3439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064309736.1?report=genbank&log$=nucltop&blast_rank=2&RID=YYRUNNRM014"",""XM_064309736.1"")"
"PREDICTED: Anguilla rostrata cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC135240358), transcript variant X2, mRNA",Anguilla rostrata,1113,1113,73%,0.0,76.63,3673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064309735.1?report=genbank&log$=nucltop&blast_rank=3&RID=YYRUNNRM014"",""XM_064309735.1"")"
"PREDICTED: Anguilla anguilla cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC118214144), transcript variant X2, mRNA",Anguilla anguilla,1100,1100,71%,0.0,76.68,2584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035393777.1?report=genbank&log$=nucltop&blast_rank=4&RID=YYRUNNRM014"",""XM_035393777.1"")"
"PREDICTED: Anguilla anguilla cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC118214144), transcript variant X1, mRNA",Anguilla anguilla,1100,1100,71%,0.0,76.68,2374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035393775.1?report=genbank&log$=nucltop&blast_rank=5&RID=YYRUNNRM014"",""XM_035393775.1"")"
"PREDICTED: Conger conger cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133116712), mRNA",Conger conger,1067,1067,74%,0.0,75.64,2607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061226595.1?report=genbank&log$=nucltop&blast_rank=6&RID=YYRUNNRM014"",""XM_061226595.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X4, mRNA",Megalops cyprinoides,1063,1126,77%,0.0,75.75,2142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036545740.1?report=genbank&log$=nucltop&blast_rank=7&RID=YYRUNNRM014"",""XM_036545740.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X3, mRNA",Megalops cyprinoides,1063,1130,82%,0.0,75.75,2202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036545739.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYRUNNRM014"",""XM_036545739.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X1, mRNA",Megalops cyprinoides,1063,1142,92%,0.0,75.75,2247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036545736.1?report=genbank&log$=nucltop&blast_rank=9&RID=YYRUNNRM014"",""XM_036545736.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X2, mRNA",Megalops cyprinoides,1063,1138,86%,0.0,75.75,2187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036545737.1?report=genbank&log$=nucltop&blast_rank=10&RID=YYRUNNRM014"",""XM_036545737.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X5, mRNA",Megalops cyprinoides,1063,1138,86%,0.0,75.75,1995,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036545741.1?report=genbank&log$=nucltop&blast_rank=11&RID=YYRUNNRM014"",""XM_036545741.1"")"
"PREDICTED: Stigmatopora argus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC144078724), transcript variant X2, mRNA",Stigmatopora argus,1061,1061,64%,0.0,77.71,2771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077607042.1?report=genbank&log$=nucltop&blast_rank=12&RID=YYRUNNRM014"",""XM_077607042.1"")"
"PREDICTED: Stigmatopora argus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC144078724), transcript variant X1, mRNA",Stigmatopora argus,1061,1061,64%,0.0,77.71,2816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077607041.1?report=genbank&log$=nucltop&blast_rank=13&RID=YYRUNNRM014"",""XM_077607041.1"")"
"PREDICTED: Paramormyrops kingsleyae cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X1, mRNA",Paramormyrops kingsleyae,1058,1058,71%,0.0,76.24,3652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_023800994.2?report=genbank&log$=nucltop&blast_rank=14&RID=YYRUNNRM014"",""XM_023800994.2"")"
"PREDICTED: Paramormyrops kingsleyae cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X2, mRNA",Paramormyrops kingsleyae,1058,1058,71%,0.0,76.24,4396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_072699449.1?report=genbank&log$=nucltop&blast_rank=15&RID=YYRUNNRM014"",""XM_072699449.1"")"
"PREDICTED: Brienomyrus brachyistius cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X2, mRNA",Brienomyrus brachyistius,1053,1053,73%,0.0,75.95,3829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048999267.1?report=genbank&log$=nucltop&blast_rank=16&RID=YYRUNNRM014"",""XM_048999267.1"")"
