Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Nothoprocta perdicaria cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X2, mRNA",Nothoprocta perdicaria,1219,1219,74%,0.0,77.63,1983,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_026035640.1?report=genbank&log$=nucltop&blast_rank=1&RID=YYR9991V014"",""XM_026035640.1"")"
"PREDICTED: Nothoprocta perdicaria cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X1, mRNA",Nothoprocta perdicaria,1219,1219,74%,0.0,77.63,2100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_026035639.1?report=genbank&log$=nucltop&blast_rank=2&RID=YYR9991V014"",""XM_026035639.1"")"
"PREDICTED: Aythya fuligula cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Aythya fuligula,1164,1227,84%,0.0,77.38,2262,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_032200842.1?report=genbank&log$=nucltop&blast_rank=3&RID=YYR9991V014"",""XM_032200842.1"")"
"Aythya marila cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, mRNA",Aythya marila,1164,1227,84%,0.0,77.38,4976,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_082780393.1?report=genbank&log$=nucltop&blast_rank=4&RID=YYR9991V014"",""XM_082780393.1"")"
"Aythya marila cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, mRNA",Aythya marila,1158,1221,83%,0.0,77.53,4814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_082780394.1?report=genbank&log$=nucltop&blast_rank=5&RID=YYR9991V014"",""XM_082780394.1"")"
"PREDICTED: Tinamus guttatus cyclic nucleotide gated channel alpha 3 (CNGA3), partial mRNA",Tinamus guttatus,1158,1158,73%,0.0,76.90,2170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_010216010.1?report=genbank&log$=nucltop&blast_rank=6&RID=YYR9991V014"",""XM_010216010.1"")"
"PREDICTED: Colius striatus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Colius striatus,1151,1227,87%,0.0,76.44,2432,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061988502.1?report=genbank&log$=nucltop&blast_rank=7&RID=YYR9991V014"",""XM_061988502.1"")"
"Podarcis erhardii cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, mRNA",Podarcis erhardii,1147,1147,72%,0.0,76.94,3194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081858976.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYR9991V014"",""XM_081858976.1"")"
"PREDICTED: Anas acuta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X3, mRNA",Anas acuta,1146,1210,84%,0.0,77.11,5594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_068681273.1?report=genbank&log$=nucltop&blast_rank=9&RID=YYR9991V014"",""XM_068681273.1"")"
"PREDICTED: Anas acuta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Anas acuta,1144,1209,83%,0.0,77.33,5413,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_068681257.1?report=genbank&log$=nucltop&blast_rank=10&RID=YYR9991V014"",""XM_068681257.1"")"
