Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Homo sapiens cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant 1, mRNA",Homo sapiens,3761,3761,100%,0.0,100.00,3547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001298.3?report=genbank&log$=nucltop&blast_rank=1&RID=YYPN66NU016"",""NM_001298.3"")"
"PREDICTED: Gorilla gorilla gorilla cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Gorilla gorilla gorilla,3657,3657,100%,0.0,98.90,3798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_063695596.1?report=genbank&log$=nucltop&blast_rank=2&RID=YYPN66NU016"",""XM_063695596.1"")"
"PREDICTED: Pongo pygmaeus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Pongo pygmaeus,3562,3562,100%,0.0,97.89,4643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054474971.1?report=genbank&log$=nucltop&blast_rank=3&RID=YYPN66NU016"",""XM_054474971.1"")"
"PREDICTED: Pongo abelii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Pongo abelii,3562,3562,100%,0.0,97.89,3464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002811676.4?report=genbank&log$=nucltop&blast_rank=4&RID=YYPN66NU016"",""XM_002811676.4"")"
"Homo sapiens cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant 2, mRNA",Homo sapiens,3553,3553,100%,0.0,97.36,3493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001079878.2?report=genbank&log$=nucltop&blast_rank=5&RID=YYPN66NU016"",""NM_001079878.2"")"
"PREDICTED: Hylobates moloch cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Hylobates moloch,3544,3544,100%,0.0,97.70,2834,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_032177380.2?report=genbank&log$=nucltop&blast_rank=6&RID=YYPN66NU016"",""XM_032177380.2"")"
"PREDICTED: Symphalangus syndactylus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Symphalangus syndactylus,3526,3526,100%,0.0,97.51,3459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_055241881.2?report=genbank&log$=nucltop&blast_rank=7&RID=YYPN66NU016"",""XM_055241881.2"")"
"PREDICTED: Nomascus leucogenys cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Nomascus leucogenys,3517,3517,100%,0.0,97.41,2200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_030827484.1?report=genbank&log$=nucltop&blast_rank=8&RID=YYPN66NU016"",""XM_030827484.1"")"
"PREDICTED: Pan troglodytes cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Pan troglodytes,3485,3485,100%,0.0,96.64,4053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054678681.2?report=genbank&log$=nucltop&blast_rank=9&RID=YYPN66NU016"",""XM_054678681.2"")"
"PREDICTED: Pan paniscus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Pan paniscus,3480,3480,100%,0.0,96.59,6255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003806131.4?report=genbank&log$=nucltop&blast_rank=10&RID=YYPN66NU016"",""XM_003806131.4"")"
